Enum Value	Module Name	Max String Length	Description	English	Tr_Chinese	Si_Chinese	Thai	Spanish	French	German	Russian	Italian	Arabic   	Portuguese	Turkish	Vietnamese	Indonesian	Malaysian	Hindi	Danish	Czech	Polish	Hungarian	Finnish	Norwegian	Slovak	Dutch	Swedish	Croatian	Romanian	Slovenian	Greek	Hebrew	Bulgarian	Marathi	Persian	Urdu	Tamil	Bengali	Punjabi	Telugu	Ukrainian
BRA_STR_ID_DELETED	Undefined	7	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V
BRA_STR_ID_DELETE_ALL_INBOX	Undefined	16	No Translation					V	V	V	V	V			V	V	V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
BRA_STR_ID_EDIT_HOMEPAGE			Empty
BRA_STR_ID_VIEW_URL	Undefined	8	No Translation					V	V	V	V	V			V	V	V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V					V	
BRA_STR_ID_VIEW_CURRENT_URL	Undefined	8	No Translation					V	V	V	V	V			V	V	V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V					V	
BRA_STR_ID_VIEW_PROFILE	Undefined	12	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V
BRA_STR_ID_ERR_INVALID_PHONENO	Undefined	16	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_ERR_INVALID_DOMAINNAME	Undefined	19	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_ERR_INVALID_IP	Undefined	18	No Translation																																	V						
BRA_STR_ID_ERR_TRUSTLIST_FULL	Undefined	18	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_ERR_TITLE_URL_TOOLONG	Undefined	21	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_MESSAGE_FORTITLE	Undefined	7	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_DISABLE	Undefined	5	No Translation					V	V	V	V	V			V	V	V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_WITHOUT_CONFIRM	Undefined	15	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_CONFIRM	Undefined	7	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_ADD_NEW	Undefined	7	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_PHONE_NO	Undefined	8	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						V
BRA_STR_ID_DOMAIN_NAME	Undefined	11	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_PRS_INSTAL	Undefined	16	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_SELECT_PICTURE	Undefined	6	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
BRA_STR_ID_ENTERING_SELECT_MODE	Undefined	6	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
BRA_STR_ID_SEND	Undefined	4	No Translation					V	V	V		V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_VIA_SMS	Undefined	7	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_VIA_MMS	Undefined	7	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_VIA_EMAIL	Undefined	9	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_USB_MODE_EXP_WARNING	ExtDevice	38	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_NO_SIMCARD_WARNING	ExtDevice	38	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_SET_ENABLE_PUSH	Undefined	12	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_SET_PUSH_TRUSTSETTING	Undefined	14	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_SET_PUSH_SLSETTING	Undefined	10	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
